Body Part,Equipment Required,ID,Name,Primary Muscle Group,Duration(min),Reps,Sets,Rest Time(sec),Calories Burned,Difficulty Level,Intensity Level,Video Link,Image Link,Secondary Muscle Group,Category
waist,body weight,1,3/4 sit-up,Rectus Abdominis,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/watch?v=qzcKvbpxhh0,\Exercises pictures\1.gif,"Obliques, Hip Flexors ",Endurence Training
waist,body weight,2,45° side bend,Obliques ,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/watch?v=V-k27645MTs,\Exercises pictures\2.gif,"Rectus Abdominis, Erector Spinae","Endurance Training, Hypertrophy Training"
waist,body weight,3,air bike,Rectus Abdominis,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/watch?v=i6mPCVUrtNk,\Exercises pictures\3.gif,"Obliques , Hip Flexors ","Endurance Training, Hypertrophy Training"
upper legs,body weight,4,all fours squad stretch,Quadriceps,7,12,3,40,51.45,Intermediate,Medium,https://www.youtube.com/watch?v=PdTNAjLfybs,\Exercises pictures\4.gif,"Hip Flexors, Lower Back",Flexibility & Mobility
waist,body weight,5,alternate heel touchers,Obliques,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/watch?v=2zhFTw2epoc,\Exercises pictures\5.gif,"Rectus Abdominis, Transverse Abdominis","Endurance Training, Hypertrophy Training"
back,cable,6,alternate lateral pulldown,Latissimus Dorsi,5,12,3,30,20,Beginner,Medium,https://www.youtube.com/watch?v=je8QMOY79-o,\Exercises pictures\6.gif,"Biceps , Rear Deltoids , Trapezius , Rhomboids","Strength Training, Hypertrophy Training"
lower legs,body weight,7,ankle circles,Ankle Stabilizers,7,20,3,40,42.88,Intermediate,Medium,https://www.youtube.com/watch?v=om1IAdzpKsg,\Exercises pictures\7.gif,"Calves, Foot Muscles",Flexibility & Mobility
back,body weight,8,archer pull up,Latissimus Dorsi ,5,12,3,30,20,Beginner,Medium,https://www.youtube.com/watch?v=Z7GdTkOEe5Y,\Exercises pictures\8.gif,"Biceps, Forearms, Rear Deltoids, Trapezius","Strength Training, Hypertrophy Training"
chest,body weight,9,archer push up,Chest,5,12,3,30,20,Beginner,Medium,https://www.youtube.com/watch?v=25t7UBYCMbE,\Exercises pictures\9.gif,"Triceps , Shoulders , Core ","Strength Training, Hypertrophy Training"
waist,body weight,10,arm slingers hanging bent knee legs,Rectus Abdominis,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/watch?v=auZRSreJ2Rc,\Exercises pictures\10.gif,"Hip Flexors, Obliques, Forearms & Grip Strength","Strength Training, Hypertrophy Training"
waist,body weight,11,arm slingers hanging straight legs,Rectus Abdominis,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/shorts/RiQ9voooO7w,\Exercises pictures\11.gif,"Hip Flexors, Obliques, Forearms & Grip Strength","Strength Training, Hypertrophy Training"
upper legs,body weight,12,arms apart circular toe touch (male),Obliques ,6,12,4,45,40.42,Intermediate,Medium,https://www.youtube.com/watch?v=bu4c8AtzSN0,\Exercises pictures\12.gif,"Rectus Abdominis, Hip Flexors , Lower Back ","Strength Training, Hypertrophy Training"
waist,body weight,13,arms overhead full sit-up (male),Rectus Abdominis,5,15,3,30,30.62,Intermediate,Medium,https://www.youtube.com/watch?v=pAci8N_6jS0,\Exercises pictures\13.gif,"Hip Flexors , Obliques , Lower Back ","Strength Training, Hypertrophy Training"
